rm_cd,sap_cd,rm_des,grp_cd,uom,Rate
CE3302,8223161190,SBR 1502,3325,KG,135
CR4121,8223161191,Reclaim HT555,3325,KG,39
CA4102,8223161192,STEARIC ACID,3330,KG,70
CA400161,8223161193,ZINK OXIDE,3330,KG,161
CS4801,8223161194,BITUMEN H 115/125,3330,KG,42
CR1101,8223161195,Indene cumarone resin,3330,KG,103
CS1001,8223161196,partly hydrated SiO2 (Ultrasil VN3),3330,KG,59
CC0330,8223161197,Carbon black N330,3330,KG,63
CF1010,8223161198,CLAY (Kaolin),3330,KG,5
CF1103,8223161199,CHALK C,3330,KG,11
CS4101,8223161200,Process Oil Aromatic,3330,KG,38
CA1704,8223161201,Accel. CBS (granules),3330,KG,270
CR8001,8223161202,RETARDER CTP / PVI,3330,KG,375
CV1001,8223161203,"SULFUR, soluble",3330,KG,30
CA1501,8223161204,ACCEL. DPG,3330,KG,380
CN2025,8223161205,ISNR 20,3324,KG,150
CA6401,8223161206,ASM TMQ,3330,KG,160
CF1101,8223161207,CALCIUM CARBONAT,3330,KG,10
CC0660,8223161208,CARBON BLACK N660,3330,KG,62
CA6204,8223161209,ASM 6PPD,3330,KG,247
CA6501,8223161210,ASM MMBI,3330,KG,502
CR100501,8223161211,STRUKTOL TS 30,3330,KG,180
CA2410,8223161212,Rhenofit EDMA/S,3330,KG,1056
CV2005,8223161213,PERKADOX 14 40B-gr,3330,KG,445
CB1302,8223161214,HMMM 50% /COHEDURA,3330,KG,140
CB1202,8223161215,COFILL 11,3330,KG,295
CE602601,8223161216,KELTAN 2470 (BUNA EP G 2470),3325,KG,220
CC0774,8223161217,DUREX O,3330,KG,67
CS4001,8223161218,paraffinic plasticizer,3330,KG,160
CE600901,8223161219,Keltan 2750,3325,KG,225
CE681301,8223161220,KELTAN 0500R,3325,KG,225
CR113001,8223161221,Novares TC100,3330,KG,653.1
CR311201,8223161222,Werbablend H90,3330,KG,552.67
CR3111,8223161223,Werbablend  HP125,3330,KG,765.88
CB1206,8223161224,RHENOGRAN RESORCIN 80/SBR,3330,KG,505
CC0550,8223161225,CARBON BLACK N 550,3330,KG,63
CA1703,8223161226,ACCEL. TBBS,3330,KG,347
CE1604,8223161227,SKD II,3325,KG,150
CW100203,8223161228,ANTILUX 654 A,3330,KG,130
CR1103,8223161229,HC RESIN LIGHT AROM,3330,KG,68
CE3301,8223161230,SBR 1500,3325,KG,140
CA4210,8223161231,DISPERGATOR 12,3330,KG,85
CA181001,8223161232,Rhenocure SDT-S,3330,KG,1326
CA1321,8223161233,ACCEL. TIBTD,3330,KG,1140
CA6602,8223161234,ASM DDA,3330,KG,620
CC0339,8223161235,CARBON BLACK N 339,3330,KG,67
CE5110,8223161236,Nitrile Rubber ACN 33 Mooney 40,3325,KG,160
CS6416,8223161237,DINP,3330,KG,95
CS3208,8223161238,ANTIMONTRIOXID C 3CP,3330,KG,470
CS320706,8223161239,CHLOROPARAFFIN 68 Liquid,3330,KG,58
CS3212,8223161240,ALUMINIUMHYDROXID(2-20 µm),3330,KG,36
CE681701,8223161241,Mitsui EPT0045,3325,KG,175
CN2020,8223161242,TSR 10,3324,KG,150
